plant_id,material_id
DE10,P392004
DE10,P378111
DE10,P501696
DE10,P475118
DE10,P473145
DE10,P476430
DE10,P456975
DE10,P469195
DE10,P446816
DE10,P471076
DE10,P505463
DE10,P505041
DE10,P472065
DE10,P416725
DE10,P504285
DE10,P375938
DE10,P477168
DE10,P456006
DE10,P399503
DE10,P457429
DE10,P502306
DE10,P468353
DE10,P476697
DE10,P471009
DE10,P91627362
DE10,P504127
DE10,P457512
DE10,P501516
DE10,P455418
DE10,P474942
DE10,P476671
DE10,P504054
DE10,P471101
DE10,P479830
DE10,P434399
DE10,P480634
DE10,P461185
DE10,P422275
DE10,P471226
DE10,P12790
DE10,P481396
DE10,P428636
DE10,P444990
DE10,P46587789
DE10,P501760
DE10,P429952
DE10,P383054
DE10,P457458
DE10,P409988
DE10,P162554
DE10,P453929
DE10,P467944
DE10,P475951
DE10,P229406
DE10,P397465
DE10,P481141
DE10,P467120
DE10,P441329
DE10,P429554
DE10,P504364
DE10,P420019
DE10,P450720
DE10,P504281
DE10,P477741
DE10,P482694
DE10,P183916
DE10,P109911
DE10,P469440
DE10,P417312
DE10,P480152
DE10,P440305
DE10,P395532
DE10,P436757
DE10,P454083
DE10,P432045
DE10,P504789
DE10,P480529
DE10,P397627
DE10,P505250
DE10,P472044
DE10,P401771
DE10,P471046
DE10,P503206
DE10,P473260
DE10,P501360
DE10,P405602
DE10,P296439
DE10,P107319
DE10,P430910
DE10,P458630
DE10,P475981
DE10,P500787
DE10,P418122
DE10,P427393
DE10,P502866
DE10,P504064
DE10,P469828
DE10,P501965
DE10,P476550
DE10,P504453
DE10,P429621
DE10,P472817
DE10,P466426
DE10,P503857
DE10,P382378
DE10,P472317
DE10,P420699
DE10,P483678
DE10,P429675
DE10,P405269
DE10,P454941
DE10,P501751
DE10,P478239
DE10,P500992
DE10,P439406
DE10,P76000
DE10,P408218
DE10,P34402
DE10,P483654
DE10,P501697
DE10,P294018
DE10,P469439
DE10,P431511
DE10,P467123
DE10,P500687
DE10,P479732
DE10,P7844
DE10,P482755
DE10,P451225
DE10,P461636
DE10,P501493
DE10,P416825
DE10,P502068
DE10,P461451
DE10,P469197
DE10,P269707
DE10,P477822
DE10,P482509
DE10,P49848448
DE10,P456007
DE10,P54433
DE10,P480636
DE10,P443834
DE10,P6463
DE10,P470246
DE10,P462417
US10,P475118
US10,P481370
US10,P91627362
US10,P470510
US10,P467973
US10,P432239
US10,P383054
US10,P444990
US10,P504794
US10,P457512
US10,P469439
US10,P505250
US10,P470246
US10,P504054
US10,P467944
US10,P152203
US10,P468161
US10,P501360
US10,P480529
US10,P395532
US10,P431187
US10,P501696
US10,P473145
US10,P463476
US10,P416725
US10,P504064
US10,P483474
US10,P480152
US10,P454083
US10,P502186
US10,P505463
US10,P397465
US10,P475951
US10,P432863
US10,P469828
US10,P457458
US10,P392004
US10,P456975
US10,P500992
US10,P501516
US10,P408218
US10,P469440
US10,P478239
US10,P479969
US10,P501284
US10,P459301
US10,P229406
US10,P439406
US10,P107319
US10,P504159
US10,P454941
US10,P476697
US10,P470025
US10,P446816
US10,P504841
US10,P269707
US10,P504789
US10,P472452
US10,P479732
US10,P440305
US10,P183916
US10,P503762
US10,P504281
US10,P502185
US10,P504849
US10,P477822
US10,P473185
US10,P477838
US10,P449342
US10,P476550
US10,P476011
US10,P501435
US10,P429675
US10,P428222
US10,P296439
US10,P470542
US10,P294018
US10,P469197
US10,P405269
US10,P456007
US10,P504519
US10,P500256
US10,P455339
US10,P76000
US10,P429621
US10,P471046
US10,P480636
US10,P430910
US10,P502289
US10,P162554
US10,P476428
US10,P375938
US10,P413684
US10,P34402
US10,P501721
US10,P471226
US10,P472044
US10,P12790
US10,P434440
US10,P427393
US10,P468353
US10,P435342
US10,P501760
US10,P476671
US10,P429554
US10,P457429
US10,P467038
US10,P450720
US10,P387564
US10,P458630
US10,P462387
US10,P501965
US10,P481103
US10,P409988
US10,P483706
US10,P504364
US10,P6463
US10,P49848448
US10,P481396
US10,P389524
US10,P416825
US10,P476430
US10,P379995
US10,P462417
US10,P448200
US10,P434410
US10,P500787
US10,P470004
US10,P470525
US10,P109911
US10,P432045
US10,P472317
US10,P461185
US10,P442742
US10,P467120
US10,P481348
US10,P504044
US10,P474942
US10,P479688
US10,P503857
US10,P387939
US10,P482755
US10,P472065
US10,P387261
US10,P429952
US10,P505041
US10,P504187
US10,P502068
US10,P405602
US10,P475981
US10,P413326
US10,P434399
US10,P428636
US10,P420019
US10,P443834
US10,P455321
US10,P471076
US10,P476690
US10,P501153
US10,P418122
US10,P481141
US10,P453929
US10,P477741
US10,P399503
US10,P504453
US10,P466426
US10,P461950
US10,P454018
US10,P7844
US10,P417312
US10,P504285
US10,P502306
US10,P479829
US10,P431511
US10,P471009
US10,P461636
US10,P455418
US10,P467123
US10,P382378
US10,P477168
US10,P420699
US10,P456006
US10,P482013
US10,P479830
US10,P482694
US10,P46587789
US10,P473260
US10,P422275
US10,P500445
US10,P500687
US10,P502866
US10,P503815
US20,P503206
US20,P379995
US20,P477838
US20,P456007
US20,P109911
US20,P469195
US20,P467973
US20,P34402
US20,P183916
US20,P504794
US20,P448200
US20,P504364
US20,P440305
US20,P455418
US20,P91627362
US20,P483474
US20,P503857
US20,P504159
US20,P501153
US20,P436757
US20,P476430
US20,P397465
US20,P383054
US20,P475981
US20,P413326
US20,P408218
US20,P479829
US20,P405269
US20,P430910
US20,P467038
US20,P472065
US20,P500445
US20,P504841
US20,P435342
US20,P451225
US20,P479688
US20,P429621
US20,P470542
US20,P500687
US20,P501360
US20,P482755
US20,P501516
US20,P500256
US20,P428636
US20,P476011
US20,P453929
US20,P431187
US20,P427393
US20,P54433
US20,P420019
US20,P501493
US20,P472044
US20,P378111
US20,P389524
US20,P450720
US20,P397627
US20,P484052
US20,P504064
US20,P6463
US20,P456006
US20,P501284
US20,P471046
US20,P432239
US20,P504285
US20,P481396
US20,P504281
US20,P502068
US20,P456975
US20,P387564
US20,P461185
US20,P467120
US20,P457512
US20,P501751
US20,P395532
US20,P294018
US20,P434440
US20,P461451
US20,P471226
US20,P76000
US20,P476671
US20,P477741
US20,P443834
US20,P470004
US20,P501760
US20,P500787
US20,P502289
US20,P418122
US20,P432045
US20,P502866
US20,P446816
US20,P476690
US20,P501697
US20,P483678
US20,P468161
US20,P382378
US20,P472452
US20,P476428
US20,P483654
US20,P472317
US20,P505041
US20,P434410
US20,P480634
US20,P474942
US20,P470510
US20,P444990
US20,P502252
US20,P471242
US20,P479830
US20,P504044
US20,P477822
US20,P467123
US20,P476550
US20,P470246
US20,P416825
US20,P469828
US20,P470025
US20,P480636
US20,P107319
US20,P503762
US20,P502306
US20,P478239
US20,P501696
US20,P504519
US20,P501721
US20,P409988
US20,P439406
US20,P448730
US20,P476697
US20,P470525
US20,P387261
US20,P454941
US20,P420699
US20,P501435
US20,P480152
US20,P502186
US20,P481103
US20,P429952
US20,P457458
US20,P454018
US20,P475118
US20,P504789
US20,P296439
US20,P481370
US20,P463476
US20,P434399
US20,P471009
US20,P505250
US20,P46587789
US20,P401771
US20,P455339
US20,P392004
US20,P473145
US20,P49848448
US20,P476865
US20,P468353
US20,P482509
US20,P439672
US20,P461950
US20,P375938
US20,P481141
US20,P399503
US20,P501965
US20,P471076
US20,P422275
US20,P428222
US20,P7844
US20,P432863
US20,P479969
US20,P433125
US20,P462387
US20,P458630
US20,P431511
AE10,P443834
AE10,P467123
AE10,P472817
AE10,P471101
AE10,P504044
AE10,P454083
AE10,P504841
AE10,P432045
AE10,P473185
AE10,P476550
AE10,P446816
AE10,P418122
AE10,P466426
AE10,P461636
AE10,P474942
AE10,P505463
AE10,P448200
AE10,P387564
AE10,P462387
AE10,P429952
AE10,P501696
AE10,P469440
AE10,P504054
AE10,P468353
AE10,P456006
AE10,P413684
AE10,P455339
AE10,P387261
AE10,P469195
AE10,P440305
AE10,P472065
AE10,P294018
AE10,P503762
AE10,P296439
AE10,P453929
AE10,P501516
AE10,P473145
AE10,P463476
AE10,P91627362
AE10,P76000
AE10,P502289
AE10,P500256
AE10,P457429
AE10,P378111
AE10,P504519
AE10,P479830
AE10,P484052
AE10,P479688
AE10,P476697
AE10,P483654
AE10,P434410
AE10,P434399
AE10,P481396
AE10,P479732
AE10,P457458
AE10,P481141
AE10,P482694
AE10,P481348
AE10,P479969
AE10,P458630
AE10,P416725
AE10,P504187
AE10,P476011
AE10,P462417
AE10,P451225
AE10,P12790
AE10,P504159
AE10,P7844
AE10,P416825
AE10,P436757
AE10,P503857
AE10,P502252
AE10,P432239
AE10,P467038
AE10,P476865
AE10,P470025
AE10,P502186
AE10,P479829
AE10,P504285
AE10,P483678
AE10,P471226
AE10,P501697
AE10,P469828
AE10,P383054
AE10,P481370
AE10,P450720
AE10,P444990
AE10,P477822
AE10,P482755
AE10,P476671
AE10,P504453
AE10,P500445
AE10,P389524
AE10,P467944
AE10,P441329
AE10,P501153
AE10,P162554
AE10,P467973
AE10,P454941
AE10,P152203
AE10,P502068
AE10,P500992
AE10,P476690
AE10,P429675
AE10,P470246
AE10,P442742
AE10,P505250
AE10,P469439
AE10,P397627
AE10,P504364
AE10,P428636
AE10,P401771
AE10,P417192
AE10,P476430
AE10,P473260
AE10,P472317
AE10,P431511
AE10,P461451
AE10,P439672
AE10,P501751
AE10,P501435
AE10,P382378
AE10,P379995
AE10,P461185
AE10,P405269
AE10,P483474
AE10,P480152
AE10,P409988
AE10,P430910
AE10,P455321
AE10,P417312
AE10,P480636
AE10,P477741
AE10,P476428
AE10,P459301
AE10,P455418
AE10,P107319
AE10,P408218
AE10,P6463
AE10,P456975
AE10,P471242
AE10,P477168
AE10,P434440
AE10,P456007
AE10,P229406
AE10,P502866
AE10,P501721
AE10,P269707
AE10,P504789
AE10,P468161
AE10,P504849
AE10,P504794
AE10,P399503
AE10,P428222
AE10,P501284
AE10,P454018
AE10,P448730
AE10,P420699
AE10,P109911
AE10,P470525
AE10,P467120
AE10,P504064
AE10,P470542
AE10,P501360
AE10,P395532
AE10,P49848448
AE10,P435342
AE10,P397465
AE10,P503815
AE10,P405602
AE10,P432863
AE10,P413326
AE10,P502185
AE10,P457512
AE10,P392004
AE10,P483706
MA10,P375938
MA10,P473185
MA10,P162554
MA10,P467944
MA10,P439672
MA10,P501697
MA10,P471101
MA10,P476428
MA10,P441329
MA10,P470542
MA10,P476865
MA10,P440305
MA10,P397627
MA10,P431511
MA10,P505041
MA10,P420699
MA10,P482013
MA10,P504159
MA10,P435342
MA10,P420019
MA10,P461636
MA10,P476671
MA10,P467038
MA10,P468161
MA10,P446816
MA10,P375534
MA10,P472065
MA10,P405269
MA10,P387261
MA10,P7844
MA10,P470510
MA10,P503762
MA10,P379995
MA10,P502185
MA10,P459301
MA10,P416725
MA10,P443834
MA10,P504849
MA10,P405602
MA10,P428222
MA10,P467123
MA10,P470025
MA10,P451225
MA10,P502289
MA10,P469828
MA10,P503815
MA10,P479732
MA10,P462417
MA10,P475981
MA10,P504187
MA10,P481348
MA10,P470004
MA10,P500687
MA10,P501721
MA10,P442742
MA10,P409988
MA10,P501516
MA10,P427393
MA10,P417312
MA10,P476690
MA10,P504064
MA10,P416825
MA10,P457458
MA10,P456975
MA10,P502306
MA10,P462387
MA10,P183916
MA10,P479829
MA10,P504054
MA10,P450720
MA10,P454083
MA10,P504044
MA10,P502068
MA10,P478239
MA10,P481370
MA10,P432045
MA10,P480529
MA10,P429554
MA10,P476697
MA10,P470246
MA10,P472044
MA10,P483706
MA10,P399503
MA10,P480634
MA10,P471242
MA10,P430910
MA10,P471009
MA10,P418122
MA10,P12790
MA10,P456007
MA10,P378111
MA10,P500787
MA10,P502866
MA10,P482509
MA10,P474942
MA10,P504285
MA10,P501284
MA10,P469197
MA10,P500445
MA10,P476550
MA10,P477822
MA10,P480636
MA10,P473145
MA10,P461950
MA10,P229406
MA10,P428636
MA10,P479830
MA10,P477168
MA10,P476430
MA10,P479969
MA10,P401771
MA10,P504519
MA10,P472452
MA10,P482694
MA10,P461451
MA10,P504789
MA10,P397465
MA10,P429952
MA10,P483474
MA10,P468353
MA10,P484052
MA10,P413326
MA10,P152203
MA10,P473260
MA10,P458630
MA10,P34402
MA10,P392004
MA10,P417192
MA10,P501696
MA10,P471076
MA10,P49848448
MA10,P269707
MA10,P475951
MA10,P501493
MA10,P504281
MA10,P475118
MA10,P449342
MA10,P461185
MA10,P453929
MA10,P434410
MA10,P502186
MA10,P439406
MA10,P469439
MA10,P107319
