movement_id,movement_date,plant_id,material_id,movement_type,quantity
4756,04.04.2024,fr10,P470025,601_GOODS_ISSUE_SALE,-2.0
22738,15-May-2024,de10,P470510,Goods Issue,-1.0
3776,26-Jan-2025,fr10,P296439,601_GOODS_ISSUE_SALE,-1.0
91679,07/01/2024,US10,P454018,Goods Receipt,2.0
26696,01-Aug-2024,DE10 ,P467120,601_GOODS_ISSUE_SALE,-1.0
48733,03-Feb-2025, US20,P91627362,Goods Issue,-1.0
72683,02-Dec-2024,FR10,P458630,101,4.0
78508,04/21/2025,UK10 ,P459301,GR,2.0
45229,2025-04-07,US10,P477741,601,-1.0
95552,2025-03-10,US20,P382378,Goods Receipt,2.0
96555,01.07.2024,US20 ,P448730,GR,1.0
97752,2025-01-27,US20,P428222,101,1.0
60150,25-Jul-2024,AE10 ,P466426,GI Sale,-1.0
104001,16-Jun-2025,MA10 ,P481370,101,3.0
5219,31.07.2024,FR10 ,P49848448,601,-1.0
3009,08/16/2024, FR10,P461636,GI Sale,-1.0
58826,13-Dec-2024,us20,P471076,601,-1.0
66791,30.05.2025,ae10,P399503,601,-1.0
34010,04/19/2025,US10,P475951,601,-1.0
39923,14.02.2024,US10,P435342,601_GOODS_ISSUE_SALE,-1.0
60120,2024-10-29,AE10,P418122,601,-1.0
3626,30.12.2024,fr10,P458630,GI Sale,-1.0
29569,07/20/2024,DE10 ,P478239,Goods Issue,-1.0
49507,03.11.2024, US20,P479829,601_GOODS_ISSUE_SALE,-1.0
79353,07/29/2024,UK10 ,P482509,Goods Receipt,1.0
6103,18-Feb-2024,FR10,P107319,601,-1.0
21377,04.10.2024,uk10,P456006,601,-1.0
47750,16-Jun-2024,US20 ,P379995,Goods Issue,-1.0
47926,24-Nov-2024,US20,P456007,601_GOODS_ISSUE_SALE,-1.0
66723,01/06/2024, AE10,P399503,Goods Issue,-1.0
99362,08/12/2024,AE10 ,P434410,101,1.0
75029,12-Feb-2024,fr10,P481141,Goods Receipt,3.0
18385,2024-07-14,uk10,P500992,GI Sale,-1.0
3883,16.04.2025,FR10,P467038,601,-1.0
63389,08/20/2024, AE10,P501697,GI Sale,
92175,2024-10-07,US10 ,P456006,101,1.0
96696,01/27/2025,US20,P454941,GR,1.0
74668,09-Sep-2024,FR10 ,P416725,GR,1.0
27688,2024-01-05, DE10,P504789,GI Sale,-1.0
4168,26-May-2025, FR10,P439406,601_GOODS_ISSUE_SALE,-1.0
26593,13-Nov-2024,DE10 ,P397465,601_GOODS_ISSUE_SALE,-1.0
23143,2024-02-04,DE10 ,P483706,GI Sale,-1.0
56203,06-Jan-2024,US20,P409988,GI Sale,-1.0
498,31-Dec-2023, US10,P473145,000_OPENING_BALANCE,3.0
31922,01/20/2024,us10,P444990,601_GOODS_ISSUE_SALE,-1.0
86643,07.10.2024,us10,P480529,101,1.0
1694,2024-12-28, FR10,P472452,Goods Issue,-1.0
100092,24.02.2025, AE10,P504285,GR,1.0
75520,2024-04-22,FR10,P504841,101,1.0
20827,2025-04-30, UK10,P457429,Goods Issue,-1.0
845,31.12.2023,AE10,P454083,000,3.0
90998,07/01/2024,US10,P502068,101,2.0
100800,03/10/2025,ae10,P505250,101_GOODS_RECEIPT,2.0
55904,2024-07-16,us20,P502306,Goods Issue,-1.0
60015,08/31/2024,AE10,P476550,601,-1.0
52480,14-Jan-2024,US20,P461185,601,-1.0
34420,02/01/2024, US10,P500992,Goods Issue,-1.0
86714,12.08.2024,US10,P431187,101_GOODS_RECEIPT,3.0
90680,10-Mar-2025,US10 ,P474942,101_GOODS_RECEIPT,1.0
94279,05/20/2024,US20,P397627,Goods Receipt,2.0
31039,12/21/2024,DE10 ,P54433,601,-1.0
92696,2024-09-23,us20,P469195,101_GOODS_RECEIPT,1.0
70503,01/30/2024, MA10,P229406,601,-1.0
23795,16.05.2024, DE10,P473145,601_GOODS_ISSUE_SALE,-1.0
20839,28.06.2025,UK10 ,P457429,GI Sale,-1.0
88034,02-Jun-2025, US10,P440305,Goods Receipt,3.0
91004,2024-09-23,us10,P502068,101_GOODS_RECEIPT,3.0
21185,06/24/2025,UK10 ,P480152,GI Sale,-1.0
68638,26.07.2024,MA10 ,P405269,GI Sale,-1.0
101220,11.03.2024,ae10,P379995,GR,1.0
35278,19.12.2024,US10,P439406,601_GOODS_ISSUE_SALE,-1.0
84584,12-Aug-2024,DE10,P427393,GR,1.0
58646,03.09.2024,us20,P399503,601_GOODS_ISSUE_SALE,-1.0
45760,2024-10-11,us10,P417312,Goods Issue,-1.0
47703,18-Apr-2024, US20,P503206,Customer Return,1.0
100458,2025-05-05,AE10,P467944,101_GOODS_RECEIPT,3.0
232,12/31/2023, UK10,P483678,Opening Balance,3.0
99272,2024-07-01, AE10,P479688,GR,1.0
66550,28.09.2024,AE10 ,P504789,GI Sale,-1.0
96156,06/02/2025,us20,P416825,101,2.0
102963,02-Jun-2025, MA10,P397627,GR,1.0
17355,19.02.2024, UK10,P375534,601,-1.0
81255,05/20/2024,DE10,P389524,101_GOODS_RECEIPT,1.0
85677,04/22/2024,de10,P469197,101_GOODS_RECEIPT,1.0
90602,2024-06-17,US10 ,P481348,GR,1.0
104894,01-Jul-2024, MA10,P413326,101,1.0
24134,2024-12-07,de10,P505041,GI Sale,-1.0
80959,30.06.2025, UK10,P440305,101_GOODS_RECEIPT,1.0
49323,2024-09-17,us20,P413326,Goods Issue,-1.0
22033,2024-07-28, UK10,P502866,GI Sale,-1.0
95139,2024-01-29,us20,P470004,Goods Receipt,1.0
101840,11-Mar-2024,AE10 ,P229406,Goods Receipt,1.0
56506,2024-05-20, US20,P470525,601,-1.0
50472,07-Feb-2024,US20,P482755,Goods Issue,-1.0
26332,04-Feb-2024, DE10,P453929,Goods Issue,-1.0
54489,22.02.2024,US20,P472317,601_GOODS_ISSUE_SALE,-1.0
20176,07/17/2024,UK10,P480529,Goods Issue,-1.0
28494,09-May-2024,de10,P458630,GI Sale,-1.0
7019,29.05.2025, FR10,P479830,Goods Issue,-1.0
13716,02/05/2024, UK10,P480636,GI Sale,-1.0
80347,20-May-2024, UK10,P432239,GR,1.0
49229,24.06.2024,us20,P475981,601_GOODS_ISSUE_SALE,-1.0
11167,10.11.2024,fr10,P476690,601_GOODS_ISSUE_SALE,-1.0
54919,29-Jan-2024,US20,P444990,601_GOODS_ISSUE_SALE,-1.0
44162,01-Apr-2025, US10,P413326,601_GOODS_ISSUE_SALE,-1.0
73035,12.02.2024,FR10,P500445,Goods Receipt,1.0
78302,09/09/2024,uk10,P475118,GR,
30308,28-Nov-2024, DE10,P479732,601_GOODS_ISSUE_SALE,-2.0
78103,2024-09-09,UK10,P462387,101_GOODS_RECEIPT,1.0
61498,06-Jun-2024,AE10,P500256,Goods Issue,-1.0
819,31.12.2023,us20,P473145,000_OPENING_BALANCE,3.0
28863,29-Jun-2025,DE10,P504064,Return,1.0
11891,16-Sep-2024,FR10 ,P469828,601_GOODS_ISSUE_SALE,-1.0
85230,10-Mar-2025,de10,P34402,GR,4.0
15129,08/17/2024,uk10,P399503,GI Sale,-1.0
35717,2025-06-13,us10,P470025,Goods Issue,-1.0
59829,31-Jan-2024,ae10,P454083,601,-1.0
7139,10/11/2024, FR10,P375534,GI Sale,-1.0
88655,15-Jan-2024,us10,P405269,Goods Receipt,1.0
70328,04/01/2024,MA10 ,P469197,601_GOODS_ISSUE_SALE,-1.0
21280,12-Feb-2024,UK10,P430910,601_GOODS_ISSUE_SALE,-1.0
94285,2024-08-26,us20,P397627,GR,6.0
2696,15-Jul-2024,fr10,P440305,601_GOODS_ISSUE_SALE,-1.0
86172,16-Dec-2024, US10,P467973,101,1.0
48969,24.02.2025,US20,P501153,651,1.0
74199,06-May-2024,FR10 ,P481396,GR,1.0
84453,2024-03-11,DE10,P458630,101,1.0
1747,2024-08-19,FR10 ,P482755,GI Sale,-1.0
98921,13.01.2025,ae10,P296439,GR,1.0
61738,20.02.2024,ae10,P484052,GI Sale,-1.0
88427,10/21/2024,US10 ,P501435,Goods Receipt,2.0
7265,27.07.2024,FR10 ,P481396,Goods Issue,-1.0
32782,07/26/2024, US10,P501360,GI Sale,-2.0
91823,27-Jan-2025,US10,P502306,GR,5.0
100332,2025-03-10,AE10 ,P482755,Goods Receipt,1.0
32712,2024-05-17,US10 ,P468161,601,-1.0
65384,10/06/2024, AE10,P480152,601_GOODS_ISSUE_SALE,-1.0
60451,28-Nov-2024,AE10 ,P429952,Goods Issue,-1.0
14676,03/03/2025,UK10 ,P477838,601_GOODS_ISSUE_SALE,-1.0
10858,04-Jul-2024,fr10,P453929,GI Sale,-1.0
78979,03/10/2025,UK10,P502068,Goods Receipt,1.0
44733,13-Aug-2024,us10,P471076,Goods Issue,-1.0
65043,01-Mar-2025,AE10,P439672,601_GOODS_ISSUE_SALE,-1.0
62257,25.01.2025,AE10 ,P457458,601,-1.0
83425,05/20/2024, DE10,P229406,101,1.0
79688,25.03.2024,UK10,P444990,GR,1.0
51904,2024-05-07,US20 ,P501284,601,-1.0
33714,24-Aug-2024,US10,P454083,601,-1.0
35557,11.11.2024,us10,P476697,651,1.0
59368,2024-11-28,US20,P462387,GI Sale,-1.0
74044,11/04/2024, FR10,P457429,Goods Receipt,2.0
17434,02/04/2024,uk10,P427393,601_GOODS_ISSUE_SALE,-1.0
96692,2024-12-02,US20 ,P454941,101_GOODS_RECEIPT,1.0
100567,17-Jun-2024,ae10,P454941,Goods Receipt,1.0
36990,29-Apr-2024, US10,P477838,601_GOODS_ISSUE_SALE,-1.0
89279,29-Jan-2024, US10,P12790,GR,3.0
99276,26-Aug-2024,ae10,P479688,101_GOODS_RECEIPT,3.0
50643,26-May-2024,us20,P428636,Goods Issue,-1.0
16022,22.01.2025,uk10,P434440,GI Sale,-1.0
11235,07.12.2024,fr10,P435342,GI Sale,-1.0
76001,25-Mar-2024,FR10 ,P472317,101,2.0
43021,02/02/2024,US10,P479688,GI Sale,-1.0
57629,04-Dec-2024,US20,P471009,651,1.0
73126,27.01.2025,fr10,P470542,101,1.0
74981,09-Sep-2024, FR10,P500687,101,4.0
7557,10.01.2024,fr10,P484052,601,-1.0
100227,10-Mar-2025,AE10,P481370,Goods Receipt,1.0
94016,2024-06-03,US20 ,P427393,Goods Receipt,2.0
89959,2024-12-16,us10,P6463,101,3.0
44040,11.01.2025,us10,P475981,Goods Issue,-1.0
13130,24-May-2024, UK10,P473260,601_GOODS_ISSUE_SALE,-1.0
958,2023-12-31,AE10,P439672,000_OPENING_BALANCE,3.0
58508,04/04/2024,us20,P375938,Goods Issue,-1.0
12975,20.10.2024, UK10,P397627,Goods Issue,-1.0
104890,2024-03-25, MA10,P413326,101_GOODS_RECEIPT,
99775,06/16/2025,AE10,P12790,Goods Receipt,4.0
16820,2024-08-09,uk10,P470025,Goods Issue,-1.0
83577,23-Sep-2024,de10,P429554,Goods Receipt,2.0
75277,27.01.2025,fr10,P483474,101_GOODS_RECEIPT,1.0
45887,19-Nov-2024, US10,P502306,Customer Return,1.0
46570,2025-01-05,US10,P382378,Goods Issue,-1.0
65706,12/04/2024,AE10,P477741,Goods Issue,-1.0
44920,27-Jul-2024,US10,P501153,GI Sale,-1.0
13949,05-Mar-2024,UK10,P480634,601_GOODS_ISSUE_SALE,-2.0
92005,13-Jan-2025, US10,P455418,101_GOODS_RECEIPT,2.0
92147,13-Jan-2025,US10 ,P420699,101_GOODS_RECEIPT,2.0
3985,10/26/2024,FR10,P433125,651_CUSTOMER_RETURN,1.0
49347,25-Jan-2025,US20,P413326,Goods Issue,-1.0
16036,29.05.2025, UK10,P434440,601_GOODS_ISSUE_SALE,-1.0
65816,2024-01-26,AE10 ,P455418,Goods Issue,-1.0
81924,13.01.2025, DE10,P378111,101_GOODS_RECEIPT,1.0
1462,31.05.2025, FR10,P482694,601_GOODS_ISSUE_SALE,-1.0
22929,27.09.2024,DE10,P434410,601_GOODS_ISSUE_SALE,-1.0
93039,01/15/2024, US20,P503857,101,3.0
12157,03-May-2024,fr10,P504064,Goods Issue,-1.0
65819,05-Mar-2024,ae10,P455418,Goods Issue,-1.0
16040,09-Jan-2024,UK10 ,P479688,Goods Issue,-1.0
11684,28-Sep-2024,FR10,P475118,Goods Issue,-1.0
34827,2024-05-30,US10,P478239,601,-1.0
68294,2025-04-04, MA10,P431511,Goods Issue,-2.0
25966,2024-03-12,DE10,P46587789,601_GOODS_ISSUE_SALE,-1.0
80659,25.03.2024,UK10 ,P417312,Goods Receipt,3.0
17341,2025-05-11,uk10,P502289,GI Sale,-1.0
75689,08.04.2024,FR10,P479732,GR,4.0
36837,2024-02-24,us10,P477822,Goods Issue,-2.0
56046,01.09.2024,US20,P501696,601_GOODS_ISSUE_SALE,-1.0
26221,2024-03-16, DE10,P409988,Goods Issue,-1.0
73321,05/20/2024,fr10,P434399,Goods Receipt,2.0
17836,19.10.2024, UK10,P481348,Goods Issue,-1.0
87748,21.04.2025,us10,P476697,Goods Receipt,2.0
103549,11/04/2024,MA10,P479732,101,1.0
86627,02/26/2024,US10,P480529,GR,10.0
101226,2024-07-29,AE10 ,P379995,Goods Receipt,1.0
40091,12-Aug-2024, US10,P476671,601_GOODS_ISSUE_SALE,-1.0
25743,2025-01-07,DE10,P12790,GI Sale,-1.0
31210,2025-03-15,DE10,P443834,601_GOODS_ISSUE_SALE,-1.0
55452,06-May-2025, US20,P470246,601,-1.0
60414,2025-05-12, AE10,P462387,GI Sale,-1.0
16432,14-Apr-2025,UK10,P478239,601_GOODS_ISSUE_SALE,-1.0
34703,01/30/2024, US10,P469440,Goods Issue,-1.0
30900,25-May-2024, DE10,P49848448,Return,1.0
24310,02/21/2024,DE10 ,P477168,601_GOODS_ISSUE_SALE,-1.0
80125,08/26/2024, UK10,P428636,101,2.0
77944,01/13/2025,uk10,P475951,Goods Receipt,2.0
38932,2024-08-28,us10,P162554,601_GOODS_ISSUE_SALE,-1.0
78730,15.07.2024, UK10,P479830,101,3.0
50598,02/07/2025,US20,P500256,GI Sale,-1.0
2102,2024-08-05,FR10 ,P461185,601,-1.0
97905,02/12/2024,US20,P462387,101_GOODS_RECEIPT,1.0
2065,29-Mar-2025,fr10,P417192,601,-1.0
88517,04/08/2024,US10 ,P296439,Goods Receipt,2.0
39597,03/08/2025, US10,P12790,GI Sale,-1.0
82431,10-Feb-2025, DE10,P502306,Goods Receipt,2.0
29826,10-Nov-2024,DE10 ,P34402,601,-1.0
37853,09-Jul-2024,us10,P294018,601_GOODS_ISSUE_SALE,-1.0
81041,12/16/2024, UK10,P505250,GR,5.0
94653,13-Jan-2025,US20,P502068,GR,3.0
40072,2024-04-15,US10,P476671,Return,1.0
74423,03/25/2024,fr10,P504794,101,1.0
75313,10.03.2025, FR10,P434410,101,1.0
52693,12.06.2025,us20,P457512,601,-1.0
8261,07-Feb-2025, FR10,P475951,Goods Issue,-1.0
86450,16-Jun-2025,us10,P470246,101_GOODS_RECEIPT,5.0
52079,23.02.2025,US20,P432239,601_GOODS_ISSUE_SALE,-3.0
48493,15-Sep-2024, US20,P504364,601_GOODS_ISSUE_SALE,-1.0
96125,01/15/2024, US20,P416825,101_GOODS_RECEIPT,1.0
45333,21.02.2025,us10,P399503,601_GOODS_ISSUE_SALE,-1.0
56880,04/23/2024,US20,P502186,601_GOODS_ISSUE_SALE,-1.0
11552,08-Feb-2025,FR10 ,P443834,601,-1.0
88303,19-May-2025,US10,P477838,101,1.0
2208,08/23/2024,fr10,P504127,GI Sale,-2.0
80485,11/18/2024,UK10 ,P504794,Goods Receipt,4.0
9630,11.01.2025,FR10,P483474,Goods Issue,-1.0
12423,06/05/2025,fr10,P501760,601,-1.0
48139,2024-02-17,us20,P467973,601_GOODS_ISSUE_SALE,-1.0
81086,29.01.2024,DE10,P433125,GR,1.0
101999,21.10.2024, AE10,P468161,GR,1.0
4408,2025-02-18, FR10,P152203,GI Sale,-1.0
65221,2024-01-13,AE10,P461185,601,-1.0
75057,05/19/2025,fr10,P481141,101,1.0
60137,28.04.2024, AE10,P466426,GI Sale,-1.0
20114,30.10.2024,uk10,P428636,GI Sale,-1.0
99794,27.01.2025,ae10,P504159,101,1.0
72690,2025-03-24,FR10 ,P458630,101_GOODS_RECEIPT,1.0
80914,23.09.2024,UK10 ,P501435,101_GOODS_RECEIPT,1.0
83556,02-Dec-2024,DE10 ,P441329,101,1.0
28905,2025-05-26,DE10,P469828,GI Sale,-1.0
100322,2024-04-08, AE10,P482755,GR,1.0
60956,03/22/2025, AE10,P440305,601,-1.0
20185,14-Sep-2024, UK10,P480529,GI Sale,-1.0
102915,21.04.2025,MA10,P470542,Goods Receipt,3.0
57573,2025-03-06,us20,P434399,601_GOODS_ISSUE_SALE,
44042,2025-01-24,us10,P475981,601_GOODS_ISSUE_SALE,-1.0
53765,20-Nov-2024,US20,P432045,Goods Issue,-1.0
103414,2024-07-01,MA10,P428222,101_GOODS_RECEIPT,1.0
10884,2025-01-17,fr10,P453929,601,-1.0
896,12/31/2023,ae10,P482694,000_OPENING_BALANCE,3.0
16346,30.09.2024,UK10,P466426,Goods Issue,-1.0
13629,2025-06-25,UK10 ,P504789,Goods Issue,-1.0
82953,12-Aug-2024,DE10 ,P422275,GR,1.0
63308,15-Aug-2024,AE10,P483678,GI Sale,-1.0
7024,06/27/2025,FR10 ,P479830,651,1.0
51599,23.05.2024,US20,P484052,GI Sale,-1.0
90093,2024-08-12, US10,P416825,Goods Receipt,1.0
85177,05/05/2025,DE10 ,P76000,Goods Receipt,1.0
54923,02/16/2024,us20,P444990,601_GOODS_ISSUE_SALE,-1.0
53035,02/01/2025, US20,P461451,GI Sale,-1.0
18075,08/31/2024,UK10,P49848448,GI Sale,-1.0
66543,2024-07-21,ae10,P504789,601_GOODS_ISSUE_SALE,-1.0
10813,07-Sep-2024,fr10,P162554,GI Sale,-1.0
71974,23.09.2024,fr10,P432863,Goods Receipt,1.0
78737,18.11.2024, UK10,P479830,Goods Receipt,1.0
5425,2025-01-20,fr10,P479969,Goods Issue,-1.0
56924,29-Dec-2024, US20,P481103,GI Sale,-1.0
32256,23-Jan-2025,US10 ,P469439,Goods Issue,-2.0
69834,2024-05-28, MA10,P476697,601_GOODS_ISSUE_SALE,-1.0
3867,22-Jan-2025,FR10,P467038,601,-1.0
46426,2025-05-27,US10 ,P455418,GI Sale,-1.0
22067,02/05/2025, UK10,P502866,601,-1.0
88109,01-Jul-2024,US10,P504281,Goods Receipt,1.0
59433,10/11/2024,us20,P458630,GI Sale,-1.0
35037,03-Apr-2025,US10,P501284,601_GOODS_ISSUE_SALE,-1.0
16938,12-Jan-2024, UK10,P408218,601_GOODS_ISSUE_SALE,-1.0
59075,03/01/2025,us20,P7844,Goods Issue,-1.0
91292,17-Jun-2024,US10,P455321,101,1.0
94776,23.09.2024,US20 ,P467120,GR,2.0
75783,08/12/2024,FR10 ,P453929,GR,1.0
99172,29-Jul-2024,AE10 ,P378111,GR,1.0
69644,27-Sep-2024,ma10,P504044,651_CUSTOMER_RETURN,1.0
45829,15.03.2025,us10,P504285,Goods Issue,-1.0
23593,2024-01-02,DE10 ,P378111,601,-2.0
10448,2025-01-10,FR10 ,P479829,Goods Issue,-1.0
86193,05/06/2024,US10,P432239,101,2.0
87790,2025-06-02,US10 ,P470025,GR,3.0
76949,24.02.2025,UK10 ,P504453,GR,5.0
91723,2024-11-18,us10,P7844,GR,5.0
90459,20-May-2024,US10,P472317,101,1.0
61754,07/09/2024,AE10 ,P484052,GI Sale,-1.0
89863,07-Apr-2025,US10 ,P409988,GR,5.0
71210,05/31/2024,ma10,P471076,601,-1.0
11986,05-Nov-2024,fr10,P449342,Goods Issue,-1.0
72610,09-Sep-2024,FR10 ,P476011,101,1.0
98490,09.09.2024,AE10 ,P462387,GR,2.0
42524,04-Apr-2025,US10 ,P472317,GI Sale,-1.0
34247,31.12.2024,US10,P457458,601,-2.0
7032,2024-03-28,FR10 ,P501721,601,-1.0
16374,19.05.2025,UK10 ,P466426,651,1.0
3296,2024-02-23,FR10,P501696,601_GOODS_ISSUE_SALE,-1.0
46908,05/14/2025,us10,P482013,601,-1.0
23426,03-Apr-2025,de10,P470542,601_GOODS_ISSUE_SALE,-1.0
55895,07-Apr-2024,US20,P502306,601,-1.0
51376,25.03.2024,US20 ,P389524,Goods Issue,-1.0
39448,03/12/2024, US10,P472044,601_GOODS_ISSUE_SALE,-1.0
37086,2024-02-08,us10,P449342,601_GOODS_ISSUE_SALE,-1.0
57753,2025-01-07,us20,P46587789,601,-1.0
45123,08-Sep-2024,us10,P453929,601,
90127,2024-07-29,US10 ,P476430,101,1.0
101494,19.05.2025, AE10,P480636,Goods Receipt,4.0
35072,10.05.2024,us10,P459301,601_GOODS_ISSUE_SALE,-1.0
91400,23-Sep-2024,us10,P501153,GR,1.0
76313,12-Aug-2024,fr10,P500992,101,
71150,03-May-2025,ma10,P34402,GI Sale,-1.0
17585,2025-06-13,uk10,P472317,GI Sale,-1.0
10259,18-Jul-2024,fr10,P413326,601,-1.0
41526,2025-06-29,us10,P389524,Goods Issue,-1.0
64012,16-May-2025, AE10,P162554,601_GOODS_ISSUE_SALE,
34265,31.03.2025, US10,P457458,651,1.0
48460,02/08/2024,US20,P504364,GI Sale,-2.0
16496,04-Jan-2025,UK10 ,P152203,Return,1.0
59968,17.09.2024,AE10,P473185,GI Sale,-1.0
90249,20-May-2024,us10,P434410,GR,1.0
42474,2024-05-15,US10,P472317,601,-1.0
81454,02/10/2025,DE10 ,P502289,101,1.0
49919,11-Apr-2025,US20 ,P500445,601_GOODS_ISSUE_SALE,-1.0
9652,2025-06-01,FR10,P483474,601,-1.0
76146,11/04/2024,fr10,P475118,101,2.0
70351,03/22/2025,MA10 ,P469197,GI Sale,-1.0
20193,28-Oct-2024,uk10,P480529,601,-1.0
